,precision,recall,f1-score,support
Tomate - Saine,0.9714285714285714,1.0,0.9855072463768116,238.0
Tomate - Mildiou tardif,0.9681978798586572,0.9614035087719298,0.9647887323943662,285.0
Tomate - Tache bacterienne,0.9808306709265175,0.9623824451410659,0.9715189873417721,319.0
Tomate - Septoriose,0.9548872180451128,0.9584905660377359,0.9566854990583804,265.0
Mais - Sain,0.9942857142857143,1.0,0.997134670487106,174.0
Mais - Rouille commune,0.9944444444444445,1.0,0.9972144846796658,179.0
Mais - Helminthosporiose,0.9280575539568345,0.8716216216216216,0.8989547038327527,148.0
Mais - Cercosporiose,0.7951807228915663,0.8571428571428571,0.825,77.0
Poivron - Sain,0.9909502262443439,0.9864864864864865,0.9887133182844243,222.0
Poivron - Tache bacterienne,0.9735099337748344,0.9865771812080537,0.98,149.0
accuracy,0.9664396887159533,0.9664396887159533,0.9664396887159533,0.9664396887159533
macro avg,0.9551772935856597,0.9584104666409751,0.956551764245528,2056.0
weighted avg,0.9667816762721099,0.9664396887159533,0.9664587577000864,2056.0
