class,split,filename,source_path
Mais_Cercosporiose,train,00225_7b0308b0-8997-4318-b3e0-26c658f8dadf___RS_GLSp 7300.JPG,C:\Users\C_O_D\Downloads\agrivision-ai-starter (1)\data\raw\Mais_Cercosporiose\00225_7b0308b0-8997-4318-b3e0-26c658f8dadf___RS_GLSp 7300.JPG
Mais_Cercosporiose,train,00213_75c57507-6463-4886-8195-b1319c434ef7___RS_GLSp 4390.JPG,C:\Users\C_O_D\Downloads\agrivision-ai-starter (1)\data\raw\Mais_Cercosporiose\00213_75c57507-6463-4886-8195-b1319c434ef7___RS_GLSp 4390.JPG
Mais_Cercosporiose,train,00344_b1a62b73-9ab9-464a-99dc-b6fb11130dde___RS_GLSp 4382.JPG,C:\Users\C_O_D\Downloads\agrivision-ai-starter (1)\data\raw\Mais_Cercosporiose\00344_b1a62b73-9ab9-464a-99dc-b6fb11130dde___RS_GLSp 4382.JPG
Mais_Cercosporiose,train,00127_42423e5e-790d-4839-a683-abb2d9dce89a___RS_GLSp 7296.JPG,C:\Users\C_O_D\Downloads\agrivision-ai-starter (1)\data\raw\Mais_Cercosporiose\00127_42423e5e-790d-4839-a683-abb2d9dce89a___RS_GLSp 7296.JPG
Mais_Cercosporiose,train,00501_fa0d690b-b3ae-4ddd-b09d-ca8608233a1a___RS_GLSp 4629.JPG,C:\Users\C_O_D\Downloads\agrivision-ai-starter (1)\data\raw\Mais_Cercosporiose\00501_fa0d690b-b3ae-4ddd-b09d-ca8608233a1a___RS_GLSp 4629.JPG
Mais_Cercosporiose,train,00092_2ff35cfb-2145-4844-9755-e977af5f661d___RS_GLSp 4434.JPG,C:\Users\C_O_D\Downloads\agrivision-ai-starter (1)\data\raw\Mais_Cercosporiose\00092_2ff35cfb-2145-4844-9755-e977af5f661d___RS_GLSp 4434.JPG
Mais_Cercosporiose,train,00467_e90fe656-399f-4863-8014-03dc30e84f8c___RS_GLSp 4326 copy.jpg,C:\Users\C_O_D\Downloads\agrivision-ai-starter (1)\data\raw\Mais_Cercosporiose\00467_e90fe656-399f-4863-8014-03dc30e84f8c___RS_GLSp 4326 copy.jpg
Mais_Cercosporiose,train,00182_656c0edc-3b1f-4d8b-adce-6264b69f7aa8___RS_GLSp 4492.JPG,C:\Users\C_O_D\Downloads\agrivision-ai-starter (1)\data\raw\Mais_Cercosporiose\00182_656c0edc-3b1f-4d8b-adce-6264b69f7aa8___RS_GLSp 4492.JPG
Mais_Cercosporiose,train,00199_70b19141-ad0c-4370-a809-ab561cd74053___RS_GLSp 7291.JPG,C:\Users\C_O_D\Downloads\agrivision-ai-starter (1)\data\raw\Mais_Cercosporiose\00199_70b19141-ad0c-4370-a809-ab561cd74053___RS_GLSp 7291.JPG
Mais_Cercosporiose,train,00241_8665d5b5-d53d-4501-a6bb-011e6ee1ed61___RS_GLSp 4651 copy 2.jpg,C:\Users\C_O_D\Downloads\agrivision-ai-starter (1)\data\raw\Mais_Cercosporiose\00241_8665d5b5-d53d-4501-a6bb-011e6ee1ed61___RS_GLSp 4651 copy 2.jpg
Mais_Cercosporiose,train,00300_a27ab77f-274b-4785-95f7-4844aa141c32___RS_GLSp 9353.JPG,C:\Users\C_O_D\Downloads\agrivision-ai-starter (1)\data\raw\Mais_Cercosporiose\00300_a27ab77f-274b-4785-95f7-4844aa141c32___RS_GLSp 9353.JPG
Mais_Cercosporiose,train,00448_de4b44f2-76c6-40bf-b48a-d69d458bb68d___RS_GLSp 4638 copy 2.jpg,C:\Users\C_O_D\Downloads\agrivision-ai-starter (1)\data\raw\Mais_Cercosporiose\00448_de4b44f2-76c6-40bf-b48a-d69d458bb68d___RS_GLSp 4638 copy 2.jpg
Mais_Cercosporiose,train,00093_302d1d00-fe10-4ec1-878c-5ac721c6ec44___RS_GLSp 9356.JPG,C:\Users\C_O_D\Downloads\agrivision-ai-starter (1)\data\raw\Mais_Cercosporiose\00093_302d1d00-fe10-4ec1-878c-5ac721c6ec44___RS_GLSp 9356.JPG
Mais_Cercosporiose,train,00146_52acf240-2625-4b4c-8484-6c93e998b115___RS_GLSp 7337.JPG,C:\Users\C_O_D\Downloads\agrivision-ai-starter (1)\data\raw\Mais_Cercosporiose\00146_52acf240-2625-4b4c-8484-6c93e998b115___RS_GLSp 7337.JPG
Mais_Cercosporiose,train,00227_7cc0887b-1bbc-49f4-8779-f7ff62aab90e___RS_GLSp 9354.JPG,C:\Users\C_O_D\Downloads\agrivision-ai-starter (1)\data\raw\Mais_Cercosporiose\00227_7cc0887b-1bbc-49f4-8779-f7ff62aab90e___RS_GLSp 9354.JPG
Mais_Cercosporiose,train,00031_137762d7-fcd5-405c-a4d5-4096321951d0___RS_GLSp 9345.JPG,C:\Users\C_O_D\Downloads\agrivision-ai-starter (1)\data\raw\Mais_Cercosporiose\00031_137762d7-fcd5-405c-a4d5-4096321951d0___RS_GLSp 9345.JPG
Mais_Cercosporiose,train,00008_05daf90f-9100-499f-a4aa-ebc5dfc20adf___RS_GLSp 7335.JPG,C:\Users\C_O_D\Downloads\agrivision-ai-starter (1)\data\raw\Mais_Cercosporiose\00008_05daf90f-9100-499f-a4aa-ebc5dfc20adf___RS_GLSp 7335.JPG
Mais_Cercosporiose,train,00120_3e21011f-edbd-4a4a-ae6d-16e08552169a___RS_GLSp 7310.JPG,C:\Users\C_O_D\Downloads\agrivision-ai-starter (1)\data\raw\Mais_Cercosporiose\00120_3e21011f-edbd-4a4a-ae6d-16e08552169a___RS_GLSp 7310.JPG
Mais_Cercosporiose,train,00404_cb07e000-acb9-44cc-abda-a4549ebe6037___RS_GLSp 4417.JPG,C:\Users\C_O_D\Downloads\agrivision-ai-starter (1)\data\raw\Mais_Cercosporiose\00404_cb07e000-acb9-44cc-abda-a4549ebe6037___RS_GLSp 4417.JPG
Mais_Cercosporiose,train,00163_5b6fe4ff-01b0-4b9d-ad8d-4c6c8ef909be___RS_GLSp 9302.JPG,C:\Users\C_O_D\Downloads\agrivision-ai-starter (1)\data\raw\Mais_Cercosporiose\00163_5b6fe4ff-01b0-4b9d-ad8d-4c6c8ef909be___RS_GLSp 9302.JPG
Mais_Cercosporiose,train,00277_97bc3c85-3c34-47c1-9bb8-5eccc54d0427___RS_GLSp 9267.JPG,C:\Users\C_O_D\Downloads\agrivision-ai-starter (1)\data\raw\Mais_Cercosporiose\00277_97bc3c85-3c34-47c1-9bb8-5eccc54d0427___RS_GLSp 9267.JPG
Mais_Cercosporiose,train,00245_8788717a-1128-4cc4-a76e-71337500c5df___RS_GLSp 4623 copy.jpg,C:\Users\C_O_D\Downloads\agrivision-ai-starter (1)\data\raw\Mais_Cercosporiose\00245_8788717a-1128-4cc4-a76e-71337500c5df___RS_GLSp 4623 copy.jpg
Mais_Cercosporiose,train,00432_d58e8f58-8a71-4d49-a183-5026f861be1b___RS_GLSp 4563.JPG,C:\Users\C_O_D\Downloads\agrivision-ai-starter (1)\data\raw\Mais_Cercosporiose\00432_d58e8f58-8a71-4d49-a183-5026f861be1b___RS_GLSp 4563.JPG
Mais_Cercosporiose,train,00045_1afa65e8-15a9-46d4-b612-e7a7b23b10b5___RS_GLSp 7326.JPG,C:\Users\C_O_D\Downloads\agrivision-ai-starter (1)\data\raw\Mais_Cercosporiose\00045_1afa65e8-15a9-46d4-b612-e7a7b23b10b5___RS_GLSp 7326.JPG
Mais_Cercosporiose,train,00480_ef2f5fe2-b4f0-40b4-8242-e521abeb812e___RS_GLSp 9288.JPG,C:\Users\C_O_D\Downloads\agrivision-ai-starter (1)\data\raw\Mais_Cercosporiose\00480_ef2f5fe2-b4f0-40b4-8242-e521abeb812e___RS_GLSp 9288.JPG
Mais_Cercosporiose,train,00196_6f4b40eb-6d14-4f30-9ef8-89f85bd841fd___RS_GLSp 4426.JPG,C:\Users\C_O_D\Downloads\agrivision-ai-starter (1)\data\raw\Mais_Cercosporiose\00196_6f4b40eb-6d14-4f30-9ef8-89f85bd841fd___RS_GLSp 4426.JPG
Mais_Cercosporiose,train,00037_14913b5b-f425-43f4-8266-e6c353f96781___RS_GLSp 4328.JPG,C:\Users\C_O_D\Downloads\agrivision-ai-starter (1)\data\raw\Mais_Cercosporiose\00037_14913b5b-f425-43f4-8266-e6c353f96781___RS_GLSp 4328.JPG
Mais_Cercosporiose,train,00211_7565238f-ba56-4a1b-93b6-a978fbc19e6a___RS_GLSp 4309.JPG,C:\Users\C_O_D\Downloads\agrivision-ai-starter (1)\data\raw\Mais_Cercosporiose\00211_7565238f-ba56-4a1b-93b6-a978fbc19e6a___RS_GLSp 4309.JPG
Mais_Cercosporiose,train,00007_045080ca-8b98-4320-adcc-e431f88c1aaa___RS_GLSp 7313.JPG,C:\Users\C_O_D\Downloads\agrivision-ai-starter (1)\data\raw\Mais_Cercosporiose\00007_045080ca-8b98-4320-adcc-e431f88c1aaa___RS_GLSp 7313.JPG
Mais_Cercosporiose,train,00415_d007f0d4-30a4-4d9c-b193-09cef70b547b___RS_GLSp 4617 copy.jpg,C:\Users\C_O_D\Downloads\agrivision-ai-starter (1)\data\raw\Mais_Cercosporiose\00415_d007f0d4-30a4-4d9c-b193-09cef70b547b___RS_GLSp 4617 copy.jpg
Mais_Cercosporiose,train,00237_8372ebc2-c180-4161-b7b3-0b05a5700d0d___RS_GLSp 9325.JPG,C:\Users\C_O_D\Downloads\agrivision-ai-starter (1)\data\raw\Mais_Cercosporiose\00237_8372ebc2-c180-4161-b7b3-0b05a5700d0d___RS_GLSp 9325.JPG
